Depth,Soil,p1,y1,p2,y2,p3,y3,p4,y4,p5,y5,p6,y6,p7,y7,p8,y8
0.5,sand,1.045536685648441,4.081632653061225,2.613841714121102,4.081632653061225,4.182146742593764,4.081632653061225,5.227683428242204,4.081632653061225,6.795988456714865,4.081632653061225,7.841525142363306,4.081632653061225,9.409830170835967,6.624588840859519,10.455366856484408,200
1,sand,1.7693697757127465,4.081632653061225,4.423424439281866,4.081632653061225,7.077479102850986,4.081632653061225,8.846848878563732,4.081632653061225,11.500903542132852,4.081632653061225,13.270273317845596,4.081632653061225,15.924327981414717,5.636426023228229,17.693697757127463,200
1.5,sand,2.1714992701929154,4.081632653061225,5.428748175482289,4.081632653061225,8.685997080771662,4.081632653061225,10.857496350964578,4.081632653061225,14.11474525625395,4.081632653061225,16.286244526446865,4.081632653061225,19.54349343173624,4.081632653061225,21.714992701929155,200
2,sand,2.2519251690889495,4.081632653061225,5.629812922722373,4.081632653061225,9.007700676355798,4.081632653061225,11.259625845444747,4.081632653061225,14.637513599078172,4.081632653061225,16.88943876816712,4.081632653061225,20.267326521800545,4.081632653061225,22.519251690889494,200
2.5,sand,2.010647472400848,4.081632653061225,5.02661868100212,4.081632653061225,8.042589889603391,4.081632653061225,10.05323736200424,4.081632653061225,13.069208570605511,4.081632653061225,15.079856043006359,4.081632653061225,18.09582725160763,4.081632653061225,20.10647472400848,200
3,sand,2.171499270192916,4.081632653061225,5.42874817548229,4.081632653061225,8.685997080771664,4.081632653061225,10.85749635096458,4.081632653061225,14.114745256253954,4.081632653061225,16.28624452644687,4.081632653061225,19.543493431736245,4.081632653061225,21.71499270192916,200
3.5,sand,2.5334158152250685,4.081632653061225,6.333539538062671,4.081632653061225,10.133663260900274,4.081632653061225,12.667079076125342,4.081632653061225,16.467202798962944,4.081632653061225,19.000618614188014,4.081632653061225,22.800742337025614,4.081632653061225,25.334158152250684,200
4,sand,2.895332360257221,4.081632653061225,7.238330900643052,4.081632653061225,11.581329441028885,4.081632653061225,14.476661801286104,4.081632653061225,18.819660341671938,4.081632653061225,21.714992701929155,4.081632653061225,26.057991242314987,4.081632653061225,28.95332360257221,200
4.5,sand,3.257248905289374,4.081632653061225,8.143122263223434,4.081632653061225,13.028995621157495,4.081632653061225,16.28624452644687,4.081632653061225,21.17211788438093,4.081632653061225,24.429366789670304,4.081632653061225,29.315240147604364,4.081632653061225,32.57248905289374,200
5,clay,53.550000000000004,2,133.875,2.7999999999999994,214.20000000000002,11.764705882352944,267.75,20,348.075,47.272727272727266,401.625,70.71428571428572,481.95,124.28571428571428,535.5,1000
5.5,clay,56.205,2,140.5125,2.7999999999999994,224.82,11.764705882352942,281.025,20,365.3325,47.27272727272729,421.53749999999997,70.71428571428572,505.84499999999997,124.2857142857143,562.05,1000
6,clay,58.86000000000001,2,147.15,2.799999999999999,235.44000000000003,11.76470588235294,294.3,20,382.59000000000003,47.27272727272729,441.45000000000005,70.71428571428575,529.74,124.28571428571429,588.6,1000
6.5,clay,61.515,2,153.7875,2.7999999999999994,246.06,11.76470588235294,307.575,20,399.8475,47.27272727272729,461.36249999999995,70.71428571428571,553.635,124.2857142857143,615.15,1000
