Depth,Soil,p1,y1,p2,y2,p3,y3,p4,y4,p5,y5,p6,y6,p7,y7,p8,y8
1.0,sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,clay,53.550000000000004,2.0,133.875,2.7999999999999994,214.20000000000002,11.764705882352944,267.75,20.0,348.075,47.272727272727266,401.625,70.71428571428572,481.95,124.28571428571428,535.5,1000.0
6.0,clay,58.86000000000001,2.0,147.15,2.799999999999999,235.44000000000003,11.76470588235294,294.3,20.0,382.59000000000003,47.27272727272729,441.45000000000005,70.71428571428575,529.74,124.28571428571429,588.6,1000.0
7.0,clay,64.17,2.0,160.425,2.8,256.68,11.764705882352938,320.85,20.0,417.105,47.27272727272727,481.27500000000003,70.71428571428572,577.5300000000001,124.28571428571432,641.7,1000.0
8.0,clay,69.48,2.0,173.7,2.7999999999999994,277.92,11.764705882352944,347.4,20.0,451.62,47.27272727272727,521.0999999999999,70.71428571428568,625.3199999999999,124.28571428571428,694.8,1000.0
9.0,clay,74.79,2.0,186.975,2.7999999999999994,299.16,11.764705882352944,373.95,20.0,486.135,47.27272727272728,560.925,70.71428571428572,673.11,124.28571428571432,747.9,1000.0
10.0,sand-silt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,clay,74.8125,4.5,187.03125,4.5,299.25,9.96,374.0625,13.949999999999998,486.28125,29.1,561.09375,40.49999999999999,673.3125,100.12499999999999,748.125,1000.0
